time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/n_updates,train/approx_kl,train/clip_fraction,train/loss,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
1262,3859,7903232,6261,19290,0.00031331697,0.0,0.260017454624176,2e-05,4.943161189556122,-1.7117819219827652,-0.0007469736970961094,0.2,0.8158688545227051,-76.35444089000002,1795.61
1262,3860,7905280,6261,19295,0.0046542054,0.00341796875,1.0063380002975464,2e-05,6.753037989139557,-1.7411049246788024,-0.0021154083427973092,0.2,0.8397583961486816,-75.97186441,1796.29
1262,3861,7907328,6261,19300,9.068134e-05,0.0,1.294548511505127,2e-05,10.816770076751709,-1.752725785970688,-0.00012953860277775675,0.2,0.6507785320281982,-75.96407443,1802.1
1263,3862,7909376,6261,19305,0.0017005585,0.0005859375,0.37909334897994995,2e-05,3.9757671475410463,-1.7358915388584137,-0.0020515492418780924,0.2,0.8813315033912659,-75.03960741999998,1804.36
1263,3863,7911424,6261,19310,0.00048672454,0.0,0.577110230922699,2e-05,5.678885340690613,-1.7543652951717377,-0.0014915711275534705,0.2,0.8273226618766785,-75.03960741999998,1804.36
1263,3864,7913472,6261,19315,0.0050762445,0.00380859375,1.001969575881958,2e-05,7.678252589702606,-1.7669811218976974,-0.0030974700348451734,0.2,0.6087453961372375,-75.62631885999998,1820.92
1264,3865,7915520,6261,19320,0.0026351695,0.0,0.9116448163986206,2e-05,5.732044458389282,-1.7643361151218415,-0.0025759641255717726,0.2,0.6016797423362732,-75.74669836999999,1820.12
1264,3866,7917568,6261,19325,0.00038375685,0.0,0.4350612163543701,2e-05,4.461119282245636,-1.7276645869016647,-0.0012700293213129044,0.2,0.8354834318161011,-75.33345908999999,1795.04
1264,3867,7919616,6261,19330,0.00024220409,0.0,0.5982639789581299,2e-05,6.617333960533142,-1.7422328263521194,-0.00037835852708667517,0.2,0.8255529999732971,-75.70306397,1779.93
1265,3868,7921664,6261,19335,8.3448074e-05,0.0,0.6270737648010254,2e-05,6.661134934425354,-1.7250849038362503,-0.0001647528959438205,0.2,0.8698663711547852,-75.83850723,1782.16
1265,3869,7923712,6261,19340,0.0017229457,0.001171875,0.3604322373867035,2e-05,3.840231466293335,-1.7349099904298781,-0.0021164465462788938,0.2,0.8977023959159851,-74.95258488999998,1774.25
1265,3870,7925760,6261,19345,0.0004444841,0.0,0.06432649493217468,2e-05,2.746928834915161,-1.743054246902466,-0.0008295516308862716,0.2,0.9241763949394226,-75.78546309,1778.61
1266,3871,7927808,6261,19350,8.7989145e-05,0.0,0.7236038446426392,2e-05,6.9104252576828005,-1.7475107133388519,-0.0006544476374983788,0.2,0.8240276575088501,-75.78546309,1778.61
1266,3872,7929856,6261,19355,0.00029689178,0.0,0.6788336038589478,2e-05,6.5161872744560245,-1.7691409438848495,-0.0006703262217342854,0.2,0.05528789758682251,-77.31082445999999,1776.25
1266,3873,7931904,6261,19360,0.0017968739,0.0,0.13087892532348633,2e-05,3.4221292078495025,-1.727223840355873,-0.0017979705822654068,0.2,0.8949708938598633,-76.32565152,1773.61
1267,3874,7933952,6261,19365,0.00026533465,0.0,0.40461158752441406,2e-05,4.94771933555603,-1.7308844745159149,-0.00062876992742531,0.2,0.879562497138977,-76.57141235,1787.69
1267,3875,7936000,6261,19370,0.00017135113,0.0,0.9104546308517456,2e-05,7.818860256671906,-1.7547433346509933,-0.0002656449796631932,0.2,0.7859296202659607,-77.98607885,1788.37
1267,3876,7938048,6261,19375,0.001989494,0.00302734375,0.07663413882255554,2e-05,2.779700365662575,-1.7516151785850524,-0.0025845649593975394,0.2,0.9323149919509888,-78.54735768,1777.08
1268,3877,7940096,6261,19380,0.00029402366,0.0,-0.01859709620475769,2e-05,2.5328399568796156,-1.7420961409807205,-0.0006105658714659512,0.2,0.8798043727874756,-80.48091537,1778.67
1268,3878,7942144,6261,19385,0.0011902176,0.0,0.7799966931343079,2e-05,5.508430230617523,-1.754659715294838,-0.0016771106165833771,0.2,0.7827886939048767,-80.90951237,1767.34
1268,3879,7944192,6261,19390,0.00018119311,0.0,0.7355870008468628,2e-05,6.512815010547638,-1.736077493429184,-3.1830044463276862e-06,0.2,0.798698365688324,-80.03886422000001,1769.11
1269,3880,7946240,6261,19395,0.0002757613,0.0,0.2793361246585846,2e-05,4.3200461089611055,-1.7498685449361802,-0.000342558603733778,0.2,0.870868444442749,-79.88284061999998,1766.36
1269,3881,7948288,6261,19400,0.001258872,0.0,0.7458478212356567,2e-05,6.320419466495514,-1.7291624903678895,-0.00176184136653319,0.2,0.8528045415878296,-79.35101639999999,1762.04
1269,3882,7950336,6261,19405,7.349558e-05,0.0,1.6987199783325195,2e-05,13.465501379966735,-1.742390301823616,-0.0003423157671932131,0.2,0.5670523047447205,-79.35101639999999,1762.04
1270,3883,7952384,6261,19410,0.0004017432,0.0,-0.05261537432670593,2e-05,2.486300379037857,-1.736101633310318,-0.00031802680459804835,0.2,0.9275473952293396,-78.77798188999998,1762.95
1270,3884,7954432,6261,19415,0.00018689828,0.0,0.07977887988090515,2e-05,3.456076419353485,-1.7353831738233567,-0.0006033355602994561,0.2,0.8977068662643433,-79.51154469,1760.48
1270,3885,7956480,6261,19420,5.0712697e-05,0.0,1.273195743560791,2e-05,9.32099860906601,-1.7423172295093536,-0.00014231362147256731,0.2,0.7241072654724121,-79.59106731999998,1763.0
1271,3886,7958528,6261,19425,0.00097022596,0.0,0.5441997647285461,2e-05,5.029036045074463,-1.7527076452970505,-0.0009908586798701435,0.2,0.8146204352378845,-77.2549714,1759.17
1271,3887,7960576,6261,19430,0.00012319564,0.0,1.0193543434143066,2e-05,9.234924685955047,-1.754336693882942,-0.00041123593400698154,0.2,0.5864154100418091,-77.58062060000002,1764.86
1271,3888,7962624,6261,19435,0.00012393537,0.0,0.8993570804595947,2e-05,7.728745234012604,-1.7424069553613664,-0.0005798318947199732,0.2,0.7455867528915405,-78.63289191,1752.2
1272,3889,7964672,6261,19440,0.00013355043,0.0,0.3344879746437073,2e-05,4.214384698867798,-1.7444509536027908,-0.0005326531012542546,0.2,0.6656258702278137,-80.36120718000001,1773.5
1272,3890,7966720,6261,19445,4.7129404e-05,0.0,1.2379274368286133,2e-05,8.963086867332459,-1.7257286816835404,-0.0001865025726146996,0.2,0.5499072074890137,-80.13583872,1790.48
1272,3891,7968768,6261,19450,0.0071310364,0.0185546875,0.5078654289245605,2e-05,5.300382786989212,-1.7449648708105088,-0.0037075217231176795,0.2,0.9089142084121704,-79.23744531,1770.65
1273,3892,7970816,6261,19455,0.00061145634,0.0,0.571221649646759,2e-05,5.400333416461945,-1.7286954700946808,-5.376804620027542e-06,0.2,0.8321137428283691,-77.26443180999999,1745.12
1273,3893,7972864,6261,19460,0.00037640432,0.0,0.6737951040267944,2e-05,6.726759457588196,-1.7286879628896714,-0.0007615310489200056,0.2,0.8452126383781433,-77.10855541000001,1735.52
1273,3894,7974912,6261,19465,0.00040816757,0.0,0.7148680686950684,2e-05,7.604577207565308,-1.7287856429815291,-0.0006604739523027092,0.2,0.8019761443138123,-77.09035657,1724.55
1273,3895,7976960,6261,19470,0.00063703716,0.0,0.8734003901481628,2e-05,7.729431104660034,-1.75530306994915,-0.0009290954156313091,0.2,0.7900266647338867,-77.29316496999999,1715.6
1274,3896,7979008,6261,19475,0.005259875,0.008984375,0.6238012313842773,2e-05,5.583425843715668,-1.761340895295143,-0.003513153677340597,0.2,0.6317241787910461,-76.83897447999999,1698.58
1274,3897,7981056,6261,19480,0.000102179736,0.0,0.061695754528045654,2e-05,2.543785262107849,-1.7254452675580978,-0.0005626815021969378,0.2,0.8950193524360657,-78.24736324999999,1709.75
1274,3898,7983104,6261,19485,0.00046564362,0.0,0.7663757801055908,2e-05,6.586415112018585,-1.7285008817911147,-0.0015010310453362763,0.2,0.7345622777938843,-78.24736324999999,1709.75
1275,3899,7985152,6261,19490,0.0003061952,0.0,0.7650296688079834,2e-05,7.974732232093811,-1.759819081425667,-0.0005169472889974714,0.2,-0.2784661054611206,-77.59804362000001,1727.7
1275,3900,7987200,6261,19495,0.00393968,0.0087890625,1.1864714622497559,2e-05,10.367213559150695,-1.753316953778267,-0.004725435469299555,0.2,0.6056877374649048,-77.68104143000001,1730.35
1275,3901,7989248,6261,19500,0.00039524748,0.0,0.16181975603103638,2e-05,3.4500205874443055,-1.7230252176523209,-0.00018972184043377637,0.2,0.8908944129943848,-78.30177000999998,1737.36
1276,3902,7991296,6261,19505,1.9577274e-05,0.0,0.2425726354122162,2e-05,3.67119677066803,-1.7107581049203873,1.5269569121301175e-05,0.2,0.8250963091850281,-78.66254634,1744.13
1276,3903,7993344,6261,19510,0.00020475723,0.0,0.35066094994544983,2e-05,4.486965006589889,-1.7330263286828995,-0.0008549925551051274,0.2,0.8499110341072083,-79.96765887000001,1752.78
1276,3904,7995392,6261,19515,3.0088035e-05,0.0,1.6162337064743042,2e-05,14.93550772666931,-1.7639094769954682,-9.2011084780097e-05,0.2,0.5550918579101562,-81.1350222,1756.13
1277,3905,7997440,6261,19520,0.00012725423,0.0,-0.08975222706794739,2e-05,1.6124668955802917,-1.7383088558912276,-0.0004303754772990942,0.2,0.9055131673812866,-80.57579815,1755.65
1277,3906,7999488,6261,19525,7.974621e-05,0.0,0.46660274267196655,2e-05,4.830199760198593,-1.7542620986700057,-0.00034175721812061964,0.2,0.7310032844543457,-80.57579815,1755.65
